Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Military expenditure (current USD),MS.MIL.XPND.CD,Burkina Faso,BFA,84465502.3598333,36658539.0518782,123700474.683864,138850860.201837,147729698.91896,166136345.235204,177166954.886077,147934736.66413,149467363.227452,191065838.764304,312467610.986353,..
Military expenditure (current USD),MS.MIL.XPND.CD,Burundi,BDI,39602347.3767189,42321552.2157761,..,..,58966662.2761714,60859500.0932422,62177294.739088,66164584.4355924,66462843.0779874,63908678.4320088,65436595.2627955,..
Military expenditure (current USD),MS.MIL.XPND.CD,Cabo Verde,CPV,..,6801072.79821535,8239369.29189467,9757536.56239718,9736385.83866217,9815667.25947582,10049332.2103237,8922219.45508732,10171216.502214,9354384.16628162,10714071.127336,..
Military expenditure (current USD),MS.MIL.XPND.CD,Cambodia,KHM,29090909.0909091,81025841.3070364,167857927.989066,192159418.504374,217305727.746095,243470109.876467,277969040.247678,325188062.343281,382100547.323182,463810835.226126,543205183.272952,..
Military expenditure (current USD),MS.MIL.XPND.CD,Cameroon,CMR,180577745.946045,123034343.854287,354054397.842016,347477885.670932,354447463.111647,392840660.675249,401529079.821607,353815199.93237,387437830.87299,408157575.13556,429892180.57235,..
Military expenditure (current USD),MS.MIL.XPND.CD,Canada,CAN,11414631846.8936,8299385230.72365,19315688825.0369,21393720863.7223,20452107110.9741,18515731209.9437,17853720278.4558,17937641894.7407,17782775543.0736,21343371454.876,21620598711.9827,..
Military expenditure (current USD),MS.MIL.XPND.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Central African Republic,CAF,..,..,51585274.5029549,49874328.7289188,42746025.1857394,47923245.0813699,38407006.2599233,26703863.3865923,26832998.8201935,27516264.1779352,30951301.3185927,..
Military expenditure (current USD),MS.MIL.XPND.CD,Chad,TCD,34341542.2474428,21349034.2371091,615817007.452395,609706993.08702,..,726459396.000324,392382917.184956,220982331.558035,309567431.726812,219081031.370278,232930989.808257,..
Military expenditure (current USD),MS.MIL.XPND.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Chile,CHL,1031475584.0382,2103460609.68852,4894081125.09775,5686752069.60146,5466101782.01784,5529879480.60968,5102779355.76175,4630772773.72175,4796010962.08952,5370018134.87068,5570724562.66561,..
Military expenditure (current USD),MS.MIL.XPND.CD,China,CHN,10085081566.563,22929764606.6386,115711781066.339,137967304294.479,157390377245.803,179880451357.744,200772203839.984,214093069946.25,216031280078.816,227829417915.783,249996900635.144,..
Military expenditure (current USD),MS.MIL.XPND.CD,Colombia,COL,889979074.541223,3027922793.23722,10422054493.6452,10306578505.9573,11706271912.7386,12503812627.422,11845957098.1826,9127165374.88958,8675980822.76398,10018029817.5824,10602860966.7378,..
Military expenditure (current USD),MS.MIL.XPND.CD,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,"Congo, Dem. Rep.",COD,45933813.550475,132883821.703899,183682097.50826,238787546.588275,332493979.374942,374475561.34913,341224738.604406,491276856.536553,395733745.247056,295236074.31758,295348364.63547,..
Military expenditure (current USD),MS.MIL.XPND.CD,"Congo, Rep.",COG,..,..,218390920.636331,..,..,367057323.29366,704893662.206851,..,501812144.937836,371937055.076808,292260465.250187,..
